id,root_word_phrase,variants,often_combined_with,severity,context_why_avoid,synonyms,synonyms_that_rhyme,synonyms_same_syllables,frequency_score,weighted_score,phrase_type,analysis_source
1024,feel right,a feel right | feel's right | feel right | the feel right | feel rights,can't | love | every | everything | still,CRITICAL,"Extremely overused phrase appearing 2528 times in dataset. Creates predictable, generic lyrics.",flavor | palpate | find | feeling | spirit | right field | correct | rightfulness,,,2528,2528,bigram,automated_detection
1025,ooh ooh,a ooh ooh | ooh oohs | ooh ooh | the ooh ooh | ooh's ooh,,CRITICAL,"Extremely overused phrase appearing 2503 times in dataset. Creates predictable, generic lyrics.",aah | aah,,,2503,2503,bigram,automated_detection
1026,heart beat,heart's beat | heart beats | the heart beat | a heart beat | heart beat,broken | every | feel | still,CRITICAL,"Extremely overused phrase appearing 1652 times in dataset. Creates predictable, generic lyrics.",sum | nub | inwardness | marrow | warmheartedness | bushed | round | mystify,part | start | art | smart,,1652,2478,bigram,automated_detection
1027,every time,a every time | every times | every's time | the every time | every time,move | scar | touch | feel | night,CRITICAL,"Extremely overused phrase appearing 2469 times in dataset. Creates predictable, generic lyrics.",sentence | fourth dimension | prison term | meter | clock,rhyme | climb | prime | sublime,,2469,2469,bigram,automated_detection
1028,every word,a every word | every's word | every words | the every word | every word,move | scar | touch | feel | night,CRITICAL,"Extremely overused phrase appearing 2468 times in dataset. Creates predictable, generic lyrics.",word of honor | watchword | Scripture | Bible | phrase,,,2468,2468,bigram,automated_detection
1200,every step take,a every step take | every step take | the every step take | every's step take,move | scar | touch | feel | night,CRITICAL,"Extremely overused phrase appearing 2465 times in dataset. Creates predictable, generic lyrics.",,,,2465,2465,trigram,automated_detection
1029,every night,every night | the every night | a every night | every nights | every's night,move | scar | touch | feel | light,CRITICAL,"Extremely overused phrase appearing 3021 times in dataset. Creates predictable, generic lyrics.",Nox | Night | nighttime | dark,light | bright | sight | fight | right,,3021,2416.8,bigram,automated_detection
1030,hand hand,hand hands | hand hand | hand's hand | the hand hand | a hand hand,take | hold,CRITICAL,"Extremely overused phrase appearing 2347 times in dataset. Creates predictable, generic lyrics.",pass on | reach | deal | turn over | give | pass on | reach | deal,,,2347,2347,bigram,automated_detection
1031,living life,living lifes | living's life | the living life | a living life | living life,like | dream | moment | edge,CRITICAL,"Extremely overused phrase appearing 2313 times in dataset. Creates predictable, generic lyrics.",animation | sustenance | keep | live | endure | aliveness | animation | lifespan,,,2313,2313,bigram,automated_detection
1032,high low,high low | the high low | a high low | high lows | high's low,,CRITICAL,"Extremely overused phrase appearing 2296 times in dataset. Creates predictable, generic lyrics.",heights | senior high school | highschool | high gear | luxuriously | downhearted | miserable | modest,,,2296,2296,bigram,automated_detection
1033,hold close,a hold close | hold close | hold's close | the hold close | hold closes,tight | eye | hand,CRITICAL,"Extremely overused phrase appearing 2239 times in dataset. Creates predictable, generic lyrics.",take for | appreciation | grip | cargo hold | control | come together | ending | secretive,,,2239,2239,bigram,automated_detection
1034,chasing dream,chasing's dream | chasing dreams | a chasing dream | chasing dream | the chasing dream,like | broken | living | shadow,CRITICAL,"Extremely overused phrase appearing 1456 times in dataset. Creates predictable, generic lyrics.",dog | trail | chase after | tag | chase | dreaming | woolgather | ambition,stream | beam | team | seem,,1456,2184,bigram,automated_detection
1035,city light,a city light | city light | city lights | the city light | city's light,every | neon | morning | find | guiding,CRITICAL,"Extremely overused phrase appearing 2691 times in dataset. Creates predictable, generic lyrics.",metropolis | urban center | idle | tripping | visible radiation | light source | light up,,,2691,2152.8,bigram,automated_detection
1036,eye see,eye sees | the eye see | a eye see | eye see | eye's see,can't | mirror | close | love | world,CRITICAL,"Extremely overused phrase appearing 2142 times in dataset. Creates predictable, generic lyrics.",optic | middle | heart | oculus | eyeball | insure | pick up | take in,,,2142,2142,bigram,automated_detection
1037,every heartbeat,every heartbeats | a every heartbeat | the every heartbeat | every's heartbeat | every heartbeat,move | scar | touch | feel | light,CRITICAL,"Extremely overused phrase appearing 1403 times in dataset. Creates predictable, generic lyrics.",instant | trice | jiffy | New York minute | pulse,,,1403,2104.5,bigram,automated_detection
1038,find light,find light | a find light | the find light | find lights | find's light,can't | strength | neon | way | trying,CRITICAL,"Extremely overused phrase appearing 2625 times in dataset. Creates predictable, generic lyrics.",find out | recover | rule | find oneself | uncovering | idle | tripping | visible radiation,,,2625,2100,bigram,automated_detection
1039,left behind,left behinds | left behind | left's behind | the left behind | a left behind,leave,CRITICAL,"Extremely overused phrase appearing 2052 times in dataset. Creates predictable, generic lyrics.",unexpended | pull up stakes | leave | lead | will | slow | can | backside,,,2052,2052,bigram,automated_detection
1040,darkest night,darkest's night | darkest nights | darkest night | the darkest night | a darkest night,every | find | feel | late | quiet,CRITICAL,"Extremely overused phrase appearing 2493 times in dataset. Creates predictable, generic lyrics.",non-white | sinister | colored | sullen | gloomy | Nox | Night | nighttime,light | bright | sight | fight | right,,2493,1994.4,bigram,automated_detection
1041,endless night,endless's night | a endless night | endless nights | endless night | the endless night,every | find | feel | late | darkest,CRITICAL,"Extremely overused phrase appearing 2458 times in dataset. Creates predictable, generic lyrics.",eternal | sempiternal | interminable | dateless | Nox | Night | nighttime | dark,light | bright | sight | fight | right,,2458,1966.4,bigram,automated_detection
1042,love never,love never | the love never | a love never | love nevers | love's never,can't | alone | that's | find | feel,CRITICAL,"Extremely overused phrase appearing 1572 times in dataset. Creates predictable, generic lyrics.",dear | screw | get it on | fuck | bang | ne'er,above | dove | shove,,1572,1886.4,bigram,automated_detection
1043,broken dream,a broken dream | broken dream | broken dreams | broken's dream | the broken dream,like | heart | living | chasing,CRITICAL,"Extremely overused phrase appearing 1250 times in dataset. Creates predictable, generic lyrics.",get around | let out | break in | crack | violate | dreaming | woolgather | ambition,stream | beam | team | seem,,1250,1875,bigram,automated_detection
1044,can't break,can't break | can't breaks | can't's break | a can't break | the can't break,free | escape | love | find | chain,CRITICAL,"Extremely overused phrase appearing 1872 times in dataset. Creates predictable, generic lyrics.",get around | gaolbreak | let out | geological fault | break in,,,1872,1872,bigram,automated_detection
1045,love like,the love like | love likes | love's like | love like | a love like,can't | find | feeling | feel | moment,CRITICAL,"Extremely overused phrase appearing 1553 times in dataset. Creates predictable, generic lyrics.",dear | screw | get it on | fuck | bang | alike | corresponding | the like,above | dove | shove,,1553,1863.6,bigram,automated_detection
1046,tearing apart,the tearing apart | tearing aparts | a tearing apart | tearing apart | tearing's apart,u | torn | fall,CRITICAL,"Extremely overused phrase appearing 1227 times in dataset. Creates predictable, generic lyrics.",charge | watering | fierce | deplumate | snap | asunder | aside | obscure,,,1227,1840.5,bigram,automated_detection
1047,find place,find place | a find place | the find place | find places | find's place,can't | peace | strength | love | way,CRITICAL,"Extremely overused phrase appearing 1834 times in dataset. Creates predictable, generic lyrics.",find out | recover | rule | find oneself | uncovering | position | lay | stead,,,1834,1834,bigram,automated_detection
1048,see face,see faces | see's face | a see face | see face | the see face,can't | mirror | love | world | eye,CRITICAL,"Extremely overused phrase appearing 1820 times in dataset. Creates predictable, generic lyrics.",insure | pick up | take in | find out | control | confront | expression | font,,,1820,1820,bigram,automated_detection
1049,feel alive,feel's alive | feel alive | the feel alive | feel alives | a feel alive,can't | right | everything | heart | night,CRITICAL,"Extremely overused phrase appearing 1784 times in dataset. Creates predictable, generic lyrics.",flavor | palpate | find | feeling | spirit | active | animated | alert,,,1784,1784,bigram,automated_detection
1050,heart still,heart still | heart stills | a heart still | heart's still | the heart still,broken | beat | feel,CRITICAL,"Extremely overused phrase appearing 1099 times in dataset. Creates predictable, generic lyrics.",sum | nub | inwardness | marrow | warmheartedness | nevertheless | tranquillize | relieve,part | start | art | smart,,1099,1648.5,bigram,automated_detection
1051,every scar,every scars | a every scar | every's scar | the every scar | every scar,move | feel | touch | light | tear,CRITICAL,"Extremely overused phrase appearing 1643 times in dataset. Creates predictable, generic lyrics.",mark | scrape | pock | cicatrice | pit,,,1643,1643,bigram,automated_detection
1052,come back,come's back | a come back | the come back | come backs | come back,find | way | may | could | take,CRITICAL,"Extremely overused phrase appearing 1616 times in dataset. Creates predictable, generic lyrics.",occur | derive | issue forth | do | amount | binding | hind | hinder,,,1616,1616,bigram,automated_detection
1053,mmm mmm,mmm mmms | the mmm mmm | mmm's mmm | a mmm mmm | mmm mmm,,CRITICAL,"Extremely overused phrase appearing 1612 times in dataset. Creates predictable, generic lyrics.",,,,1612,1612,bigram,automated_detection
1054,love love,love loves | a love love | love's love | the love love | love love,can't | that's | find | feel | like,CRITICAL,"Extremely overused phrase appearing 1327 times in dataset. Creates predictable, generic lyrics.",dear | screw | get it on | fuck | bang | dear | screw | get it on,above | dove | shove | above | dove,,1327,1592.4,bigram,automated_detection
1055,can't let,can't let | can't's let | the can't let | can't lets | a can't let,escape | love | free | find | way,CRITICAL,"Extremely overused phrase appearing 1532 times in dataset. Creates predictable, generic lyrics.",permit | allow | countenance | lease | get,,,1532,1532,bigram,automated_detection
1056,standing tall,the standing tall | standing talls | standing's tall | a standing tall | standing tall,stand,CRITICAL,"Extremely overused phrase appearing 1522 times in dataset. Creates predictable, generic lyrics.",resist | digest | fend | stand | brook | marvelous | improbable | grandiloquent,,,1522,1522,bigram,automated_detection
1057,love that's,love that'ses | the love that's | love that's | love's that's | a love that's,like | can't | world | see | never,CRITICAL,"Extremely overused phrase appearing 1267 times in dataset. Creates predictable, generic lyrics.",dear | screw | get it on | fuck | bang,above | dove | shove,,1267,1520.4,bigram,automated_detection
1058,leave behind,leave behinds | a leave behind | leave's behind | leave behind | the leave behind,left,CRITICAL,"Extremely overused phrase appearing 1518 times in dataset. Creates predictable, generic lyrics.",pull up stakes | lead | leave of absence | will | give | slow | can | backside,,,1518,1518,bigram,automated_detection
1059,every touch,every touch | a every touch | the every touch | every's touch | every touches,move | scar | feel | night | tear,CRITICAL,"Extremely overused phrase appearing 1501 times in dataset. Creates predictable, generic lyrics.",trace | contact | match | touch on | tinge,,,1501,1501,bigram,automated_detection
1060,like dream,like dream | like dreams | the like dream | like's dream | a like dream,broken | love | feeling | feel | chasing,CRITICAL,"Extremely overused phrase appearing 984 times in dataset. Creates predictable, generic lyrics.",alike | corresponding | the like | the likes of | care | dreaming | woolgather | ambition,stream | beam | team | seem,,984,1476,bigram,automated_detection
1061,way back,a way back | way's back | the way back | way back | way backs,can't | find | take | lost | come,CRITICAL,"Extremely overused phrase appearing 1420 times in dataset. Creates predictable, generic lyrics.",path | means | agency | direction | mode | binding | hind | hinder,day | say | play | stay,,1420,1420,bigram,automated_detection
1062,make right,the make right | make rights | a make right | make right | make's right,whole | feel | everything | let's,CRITICAL,"Extremely overused phrase appearing 1377 times in dataset. Creates predictable, generic lyrics.",wee | take in | form | micturate | draw | right field | correct | rightfulness,,,1377,1377,bigram,automated_detection
1063,say goodbye,a say goodbye | say's goodbye | say goodbye | the say goodbye | say goodbyes,word,CRITICAL,"Extremely overused phrase appearing 1357 times in dataset. Creates predictable, generic lyrics.",enounce | pronounce | read | sound out | allege | cheerio | auf wiedersehen | so long,,,1357,1357,bigram,automated_detection
1064,late night,late's night | the late night | late night | late nights | a late night,every | find | feel | darkest | quiet,CRITICAL,"Extremely overused phrase appearing 1671 times in dataset. Creates predictable, generic lyrics.",deep | later | tardily | recently | lately | Nox | Night | nighttime,light | bright | sight | fight | right,,1671,1336.8,bigram,automated_detection
1065,wish could,wish could | a wish could | wish coulds | wish's could | the wish could,turn | back,CRITICAL,"Extremely overused phrase appearing 1333 times in dataset. Creates predictable, generic lyrics.",bid | indirect request | care | compliments | wish well,,,1333,1333,bigram,automated_detection
1066,turn back,the turn back | turn back | turn backs | turn's back | a turn back,find | way | take | come | looking,CRITICAL,"Extremely overused phrase appearing 1327 times in dataset. Creates predictable, generic lyrics.",round | spell | turn of events | bout | plow | binding | hind | hinder,,,1327,1327,bigram,automated_detection
1067,mirror see,a mirror see | the mirror see | mirror see | mirror's see | mirror sees,can't | love | world | eye | light,CRITICAL,"Extremely overused phrase appearing 1326 times in dataset. Creates predictable, generic lyrics.",insure | pick up | take in | find out | control,,,1326,1326,bigram,automated_detection
1068,shine bright,shine bright | shine brights | the shine bright | shine's bright | a shine bright,shining | burning,CRITICAL,"Extremely overused phrase appearing 1307 times in dataset. Creates predictable, generic lyrics.",glitter | beam | strike | refulgence | refulgency | brilliant | brilliantly | smart,,,1307,1307,bigram,automated_detection
1069,letting go,a letting go | the letting go | letting's go | letting gos | letting go,can't | never | let | let's,CRITICAL,"Extremely overused phrase appearing 1305 times in dataset. Creates predictable, generic lyrics.",permit | allow | lease | countenance | rental | travel | run | croak,,,1305,1305,bigram,automated_detection
1070,neon light,neon's light | neon light | a neon light | the neon light | neon lights,every | morning | find | city | guiding,CRITICAL,"Extremely overused phrase appearing 1622 times in dataset. Creates predictable, generic lyrics.",Ne | atomic number 10 | idle | tripping | visible radiation | light source | light up,,,1622,1297.6,bigram,automated_detection
1071,lost echo,the lost echo | lost echo | a lost echo | lost's echo | lost echos,mind | way | shadow | past | maze,CRITICAL,"Extremely overused phrase appearing 1296 times in dataset. Creates predictable, generic lyrics.",miss | misplace | befuddled | disoriented | confused | reverberation | ring | recall,,,1296,1296,bigram,automated_detection
1072,brand new,the brand new | a brand new | brand's new | brand news | brand new,,CRITICAL,"Extremely overused phrase appearing 1268 times in dataset. Creates predictable, generic lyrics.",mark | blade | marque | trade name | firebrand | freshly | newly | young,,,1268,1268,bigram,automated_detection
1073,see light,see lights | the see light | see light | a see light | see's light,can't | love | every | neon | find,CRITICAL,"Extremely overused phrase appearing 1581 times in dataset. Creates predictable, generic lyrics.",insure | pick up | take in | find out | control | idle | tripping | visible radiation,,,1581,1264.8,bigram,automated_detection
1074,every whisper,every whispers | every whisper | every's whisper | the every whisper | a every whisper,move | scar | touch | feel | light,CRITICAL,"Extremely overused phrase appearing 1261 times in dataset. Creates predictable, generic lyrics.",rustling | voicelessness | whispering | susurration | rustle,,,1261,1261,bigram,automated_detection
1075,oh-oh oh-oh,the oh-oh oh-oh | oh-oh's oh-oh | oh-oh oh-ohs | oh-oh oh-oh | a oh-oh oh-oh,,CRITICAL,"Extremely overused phrase appearing 1254 times in dataset. Creates predictable, generic lyrics.",,,,1254,1254,bigram,automated_detection
1076,come may,come may | come maies | a come may | come's may | the come may,back | alive,CRITICAL,"Extremely overused phrase appearing 1252 times in dataset. Creates predictable, generic lyrics.",occur | derive | issue forth | do | amount | May | English hawthorn | whitethorn,,,1252,1252,bigram,automated_detection
1077,looking back,the looking back | a looking back | looking's back | looking backs | looking back,find | way | take | come | turn,CRITICAL,"Extremely overused phrase appearing 1249 times in dataset. Creates predictable, generic lyrics.",appear | face | seem | reckon | looking for | binding | hind | hinder,,,1249,1249,bigram,automated_detection
1078,make feel,the make feel | make feels | make feel | make's feel | a make feel,can't | whole | right | everything | heart,CRITICAL,"Extremely overused phrase appearing 1244 times in dataset. Creates predictable, generic lyrics.",wee | take in | form | micturate | draw | flavor | palpate | find,,,1244,1244,bigram,automated_detection
1079,feel pain,a feel pain | the feel pain | feel's pain | feel pain | feel pains,can't | love | every | right | everything,CRITICAL,"Extremely overused phrase appearing 823 times in dataset. Creates predictable, generic lyrics.",flavor | palpate | find | feeling | spirit | pain in the ass | trouble | ail,rain | gain | chain | stain,,823,1234.5,bigram,automated_detection
1080,cut deep,cut's deep | a cut deep | the cut deep | cut deeps | cut deep,inside | within,CRITICAL,"Extremely overused phrase appearing 1225 times in dataset. Creates predictable, generic lyrics.",baseball swing | ignore | slash | cut back | foreshorten | mystifying | inscrutable | abstruse,,,1225,1225,bigram,automated_detection
1081,call name,call name | the call name | call names | a call name | call's name,know | hear,CRITICAL,"Extremely overused phrase appearing 1224 times in dataset. Creates predictable, generic lyrics.",birdsong | ring | promise | song | phone | mention | bring up | gens,,,1224,1224,bigram,automated_detection
1082,rise fall,rise fall | rise's fall | a rise fall | rise falls | the rise fall,together | apart,CRITICAL,"Extremely overused phrase appearing 1222 times in dataset. Creates predictable, generic lyrics.",jump | rising slope | wage increase | salary increase | originate | hang | devolve | return,,,1222,1222,bigram,automated_detection
1083,shining bright,the shining bright | shining brights | shining's bright | a shining bright | shining bright,shine | burning,CRITICAL,"Extremely overused phrase appearing 1218 times in dataset. Creates predictable, generic lyrics.",struggle | glitter | beam | clamber | shiny | brilliant | brilliantly | smart,,,1218,1218,bigram,automated_detection
1084,can't deny,a can't deny | the can't deny | can't's deny | can't deny | can't denies,escape | love | free | find | way,CRITICAL,"Extremely overused phrase appearing 1214 times in dataset. Creates predictable, generic lyrics.",traverse | refuse | abnegate,,,1214,1214,bigram,automated_detection
1085,arm find,arm find | a arm find | arm's find | the arm find | arm finds,can't | peace | strength | love | way,CRITICAL,"Extremely overused phrase appearing 1206 times in dataset. Creates predictable, generic lyrics.",subdivision | gird | fortify | build up | weapon system | find out | recover | rule,,,1206,1206,bigram,automated_detection
1086,world feel,world feel | world feels | a world feel | the world feel | world's feel,can't | right | everything | heart | night,CRITICAL,"Extremely overused phrase appearing 1204 times in dataset. Creates predictable, generic lyrics.",humans | humanity | worldwide | populace | man | flavor | palpate | find,,,1204,1204,bigram,automated_detection
1087,living dream,a living dream | living's dream | the living dream | living dream | living dreams,like | broken | edge | life | chasing,CRITICAL,"Extremely overused phrase appearing 798 times in dataset. Creates predictable, generic lyrics.",animation | sustenance | keep | live | endure | dreaming | woolgather | ambition,stream | beam | team | seem,,798,1197,bigram,automated_detection
1088,love find,a love find | love finds | love's find | love find | the love find,can't | peace | strength | way | feel,CRITICAL,"Extremely overused phrase appearing 993 times in dataset. Creates predictable, generic lyrics.",dear | screw | get it on | fuck | bang | find out | recover | rule,above | dove | shove,,993,1191.6,bigram,automated_detection
1089,every single,every single | the every single | every's single | a every single | every singles,move | scar | touch | feel | light,CRITICAL,"Extremely overused phrase appearing 1189 times in dataset. Creates predictable, generic lyrics.",exclusive | bingle | one | I | undivided,,,1189,1189,bigram,automated_detection
1090,one day,a one day | one day | one's day | one daies | the one day,brighter | every | another | night,CRITICAL,"Extremely overused phrase appearing 1483 times in dataset. Creates predictable, generic lyrics.",unrivalled | unitary | i | matchless | unmatchable | solar day | Day | Clarence Shepard Day Jr.,,,1483,1186.4,bigram,automated_detection
1091,never fade,the never fade | never's fade | never fades | never fade | a never fade,alone | love | end | away | go,CRITICAL,"Extremely overused phrase appearing 1183 times in dataset. Creates predictable, generic lyrics.",ne'er | fleet | blow over | evanesce | pass off | slice,,,1183,1183,bigram,automated_detection
1092,love feel,love feels | love's feel | the love feel | a love feel | love feel,can't | right | everything | heart | moment,CRITICAL,"Extremely overused phrase appearing 982 times in dataset. Creates predictable, generic lyrics.",dear | screw | get it on | fuck | bang | flavor | palpate | find,above | dove | shove,,982,1178.4,bigram,automated_detection
1093,heart feel,heart feel | the heart feel | a heart feel | heart's feel | heart feels,can't | right | everything | night | moment,CRITICAL,"Extremely overused phrase appearing 781 times in dataset. Creates predictable, generic lyrics.",sum | nub | inwardness | marrow | warmheartedness | flavor | palpate | find,part | start | art | smart,,781,1171.5,bigram,automated_detection
1094,rise rise,a rise rise | rise rise | rise's rise | the rise rise | rise rises,together | fall,CRITICAL,"Extremely overused phrase appearing 1170 times in dataset. Creates predictable, generic lyrics.",jump | rising slope | wage increase | salary increase | originate | jump | rising slope | wage increase,,,1170,1170,bigram,automated_detection
1095,never let,a never let | never lets | the never let | never let | never's let,can't | love | alone | end | fade,CRITICAL,"Extremely overused phrase appearing 1166 times in dataset. Creates predictable, generic lyrics.",ne'er | permit | allow | countenance | lease | get,,,1166,1166,bigram,automated_detection
1096,quiet night,quiet nights | a quiet night | quiet's night | quiet night | the quiet night,every | find | feel | late | darkest,CRITICAL,"Extremely overused phrase appearing 1456 times in dataset. Creates predictable, generic lyrics.",tranquillize | calm down | tranquillity | silence | serenity | Nox | Night | nighttime,light | bright | sight | fight | right,,1456,1164.8,bigram,automated_detection
1201,ooh ooh ooh,ooh's ooh ooh | the ooh ooh ooh | ooh ooh ooh | a ooh ooh ooh,,CRITICAL,"Extremely overused phrase appearing 1154 times in dataset. Creates predictable, generic lyrics.",,,,1154,1154,trigram,automated_detection
1097,moment feel,moment's feel | moment feels | moment feel | a moment feel | the moment feel,can't | every | love | right | everything,CRITICAL,"Extremely overused phrase appearing 1145 times in dataset. Creates predictable, generic lyrics.",present moment | instant | here and now | import | minute | flavor | palpate | find,,,1145,1145,bigram,automated_detection
1098,echo past,echo past | a echo past | the echo past | echo pasts | echo's past,lost | mind | laughter,CRITICAL,"Extremely overused phrase appearing 1120 times in dataset. Creates predictable, generic lyrics.",reverberation | ring | recall | repeat | Echo | preceding | retiring | past tense,,,1120,1120,bigram,automated_detection
1099,like star,like star | like stars | the like star | like's star | a like star,love | feeling | feel | moment | ghost,CRITICAL,"Extremely overused phrase appearing 1116 times in dataset. Creates predictable, generic lyrics.",alike | corresponding | the like | the likes of | care | sensation | starring | maven,,,1116,1116,bigram,automated_detection
1100,wild free,wild free | a wild free | the wild free | wild frees | wild's free,can't | chain | break | breaking | set,CRITICAL,"Extremely overused phrase appearing 1115 times in dataset. Creates predictable, generic lyrics.",idle | dotty | natural state | godforsaken | tempestuous | disembarrass | relieve | liberal,,,1115,1115,bigram,automated_detection
